region1	region	n_s	mean_log_knee	se_log_knee	mean_exponent	se_exponent	mean_offset	se_offset	ci_up_knee_frequency	ci_low_knee_frequency	mean_knee_frequency	se_knee_frequency	mean_log_knee_s	se_log_knee_s	mean_exponent_s	se_exponent_s	mean_offset_s	se_offset_s
dorsolateral-prefrontal	p9-46v	10	1.2312887961573409	0.045529399888762534	3.504611430053875	0.11789306007263849	2.070289827392558	0.1486794144216243	18.915516132973174	15.337670242419	17.03290782317274	1.7889229452770872	-0.0017643165308565355	0.0433585727869502	0.09310973776967461	0.10601404545898754	0.22346274444636774	0.060715044415398156
dorsolateral-prefrontal	8C	23	1.2525986804286475	0.02537723765035925	3.4804275987345514	0.08815460356275892	1.8502719722988261	0.12975331173802734	18.96600750508599	16.874132026075685	17.889519687469626	1.0459377395051526	-4.3920228274946964e-4	0.020507419349686803	0.11299695375344991	0.05902269502325241	0.1324833197298799	0.05946705740272427
dorsolateral-prefrontal	8Av	20	1.2330170628938748	0.02537990229942253	3.328767840224487	0.0919364776028531	1.775231452681362	0.13978660572764626	18.129964979333067	16.13010374193394	17.100825008000974	0.9999306186995636	-0.0222895160676125	0.013825606492389437	-0.011548237290399398	0.041009827364001404	0.1696658022739851	0.06181301230339047
inferior-frontal	IFSp	12	1.2552813279781991	0.030653521953692763	3.4086434320567776	0.11939745296899183	1.7877803585347545	0.17394489696545498	19.31678517279169	16.773658854793304	18.000365681278183	1.271563158999193	-0.00200643326797878	0.021904282970431628	0.016843997513401487	0.0791911687814172	0.05751927502517643	0.07792453164314277
inferior-frontal	44	16	1.2423521939799773	0.02577707477413608	3.203474978400577	0.09950513836210204	1.4448211212765543	0.13314663610218472	18.540834134938777	16.465507428864477	17.472385131577727	1.03766335303715	-7.1123026199231e-4	0.018986360768248303	-0.10646549043860906	0.07144438447632386	-0.1904484962972633	0.09378698306727293
premotor	6r	17	1.2140397280386497	0.02311748240573956	3.1501523501452504	0.0974599881984722	1.3629089162720445	0.08818257392182964	17.26462741871452	15.521091016036115	16.369662596517397	0.8717682013392034	-0.03398227718414826	0.019262131404885675	-0.09043846570259625	0.04729586712215022	-0.1703173696451399	0.08658274490489269
premotor	6v	39	1.2578011166258796	0.014741803787694437	3.491159258554989	0.07943275007877384	1.7505784898001082	0.1049891972251277	18.73022180728156	17.50085686506224	18.10510786767375	0.6146824711096599	0.0010283853702141676	0.009745728120499517	0.15928211902322909	0.05717507784378933	0.14916093257850283	0.04160333597167766
premotor	55b	25	1.2669633583083437	0.018893339109150503	3.522224412215966	0.08456210601221797	1.8401517466233814	0.13536291000254613	19.313309375679324	17.703943674319767	18.491126016328444	0.8046828506797787	0.008645536908505837	0.009485407461438139	0.16919677286801146	0.04467009994953229	0.18493881452406566	0.05311082222555763
sensorimotor	4	17	1.2825801005640836	0.027206312717991524	3.4415948629777158	0.12021349007262816	1.628251686225938	0.1796620230450524	20.40734061572239	18.004198307936043	19.1681456427862	1.2015711538931733	-0.005763954587112822	0.026823437008595578	0.06175761615332009	0.06898889869322473	0.07144057254214585	0.08522351240443025
sensorimotor	3a	14	1.2570717994017702	0.027827015265651758	3.235075247533215	0.16114439816430726	1.3050436795406195	0.15857272459577315	19.270758756400785	16.95293059925085	18.074729203840594	1.158914078574968	-0.018515305671876998	0.020787620326254433	-0.0889142781397183	0.08898186258127523	-0.24783597516258368	0.07111815602175177
sensorimotor	3b	22	1.282065395701422	0.027379239860925084	3.533260795165012	0.12252710696300441	1.7322026372317187	0.15835675030457394	20.39128692203152	17.975714254720003	19.145441937872512	1.2077863336557577	0.026248207679670652	0.01948011680986326	0.14708030943627962	0.07526073737890093	0.07416564242730715	0.07948813200283512
sensorimotor	1	41	1.296879397007637	0.016762555593896753	3.4512859136830882	0.0639140991878409	1.6280391254650324	0.09809719310351545	20.589317587718295	19.059734269311686	19.809768348175506	0.7647916592033042	0.04231456846050092	0.010439441129568301	0.10842793778828978	0.040883798048460866	-0.02830562310585917	0.03935747903949699
posterior-opercular	43	19	1.266176918723387	0.027265025100171154	3.275109728304606	0.10245963540183955	1.4308503936943238	0.12421224993417365	19.653592351988095	17.334522924012152	18.457671769882776	1.1595347139879717	-0.004066293383413466	0.019750529317443734	-0.0219083098959307	0.06445596740221582	-0.012238887612215203	0.07886651577082107
posterior-opercular	OP4	31	1.2370816610062958	0.01776083176280197	3.1978338605468015	0.08694989799713505	1.423288164307201	0.1081754075823156	17.982186300653467	16.569935933125823	17.26162434243547	0.706125183763822	-0.02690505426174708	0.011825779384204633	-0.1411324067894097	0.05119215956459955	-0.19797805433472257	0.043028812852297156
inferior-parietal	PFop	26	1.2542717817257496	0.013784116418378836	3.3035147214092486	0.06774326324524231	1.6066283720912664	0.11563381449978631	18.537702072564294	17.39753285421587	17.95857123629558	0.5700846091742111	-0.016312515287156517	0.010913710128740536	-0.06164552308175718	0.03676296787277972	-0.035887367027475275	0.04657246252116552
inferior-parietal	PF	17	1.2583692372080886	0.023255889401755908	3.301517655167183	0.06480052130423171	1.653392656314209	0.12489778867745668	19.126042945780593	17.183568076830976	18.12880748971685	0.9712374344748085	-0.0066173627015914315	0.009773785986704515	-0.06000099726028729	0.05396986750830838	-0.027483671325268653	0.06864461687573799
temporo-parietal-occipital	PSL	9	1.2285230523127355	0.02974006358348524	3.2305701229909536	0.10281636649564431	1.8485266104470839	0.16648451748862483	18.12437819603994	15.804581076882394	16.924780786391082	1.1598985595787736	-0.039561761083961935	0.023075112552045324	-0.18608553264299926	0.07307181581999263	0.016088565563024713	0.02480148895110011
temporo-parietal-occipital	STV	11	1.279672555360047	0.019412820498729624	3.3519170992970855	0.04548566688512668	1.6982682344194981	0.12225385918033566	19.910647143313323	18.207894773511317	19.0402460083362	0.8513761849010031	-0.016152267288332037	0.014395300073286736	-0.07345080039568605	0.052284723867113934	0.010810436426556536	0.08217657614502345
auditory-associative	A5	22	1.2351459129031839	0.021979229782803457	3.2624302867729726	0.0728398983709564	1.5377616961404423	0.11669018605446953	18.07694941310565	16.33678836902436	17.184856616203295	0.8700805220406433	-0.041377802779717476	0.01661218969520199	-0.06924563857117545	0.0399941398295943	0.04560253196274308	0.07012681851258408
