HCPMMP1_label_1	region1	region2			
p9-46v	dorsolateral-prefrontal	frontal			
8C	dorsolateral-prefrontal	frontal			
8Av	dorsolateral-prefrontal	frontal			
IFSp	inferior-frontal	frontal			
44	inferior-frontal	frontal			
6r	premotor	frontal			
6v	premotor	frontal			
55b	premotor	frontal			
4	sensorimotor	rolandic			
3a	sensorimotor	rolandic			
3b	sensorimotor	rolandic			
1	sensorimotor	rolandic			
43	posterior-opercular	parietal			
OP4	posterior-opercular	parietal			
PFop	inferior-parietal	parietal			
PF	inferior-parietal	parietal			
PSL	temporo-parietal-occipital	parietal			
STV	temporo-parietal-occipital	parietal			
A5	auditory-associative	temporal			
A4	auditory-associative	temporal			
TE1p	lateral-temporal	temporal			
TPOJ1	temporo-parietal-occipital	parietal			
FOP4	insula-frontal-opercular	insula			
2	sensorimotor	rolandic			
PEF	premotor	frontal			
45	inferior-frontal	frontal			
9a	dorsolateral-prefrontal	frontal			
9p	dorsolateral-prefrontal	frontal			
p47r	inferior-frontal	frontal			
IFSa	inferior-frontal	frontal			
s6-8	dorsolateral-prefrontal	frontal			
46	dorsolateral-prefrontal	frontal			
STGa	auditory-associative	temporal			
IFJa	inferior-frontal	frontal			
FEF	premotor	frontal			
i6-8	dorsolateral-prefrontal	frontal			
TA2	auditory-associative	temporal			
PHT	lateral-temporal	temporal			
6d	premotor	frontal			
a47r	inferior-frontal	frontal			
47l	inferior-frontal	frontal			
FOP1	posterior-opercular	parietal			
8Ad	dorsolateral-prefrontal	frontal			
TGd	lateral-temporal	temporal			
AAIC	insula-frontal-opercular	insula			
PI	insula-frontal-opercular	insula			
TE1m	lateral-temporal	temporal			
TE1a	lateral-temporal	temporal			
TE2a	lateral-temporal	temporal			
STSvp	auditory-associative	temporal			
PFm	inferior-parietal	parietal			
STSda	auditory-associative	temporal			
