region1	region	n_s	mean_log_knee	se_log_knee	mean_exponent	se_exponent	mean_offset	se_offset	ci_up_knee_frequency	ci_low_knee_frequency	mean_knee_frequency	se_knee_frequency	mean_log_knee_s	se_log_knee_s	mean_exponent_s	se_exponent_s	mean_offset_s	se_offset_s
dorsolateral-prefrontal	p9-46v	12	1.217522808216464	0.03980087981899487	3.49044050679193	0.09957779113496443	2.0645687278311233	0.12300212699173839	18.08521549734563	15.056427192616143	16.501476612671897	1.5143941523647433	-0.00628163455054916	0.03610674867510893	0.11197542435162562	0.08970012001874486	0.2280769820725517	0.05077247600211321
dorsolateral-prefrontal	8C	25	1.2437988146406906	0.024511475985492057	3.444748137631463	0.08545557650748574	1.833319504221569	0.12006059441826415	18.54856390408104	16.568658192953826	17.530682111568844	0.9899528555636063	-0.009114752726030328	0.02073198105684981	0.08569716364448698	0.05839196507696581	0.11450004901448757	0.056264283353275726
dorsolateral-prefrontal	8Av	22	1.2238599705409	0.0239878668448804	3.3151352195325128	0.08399198480491296	1.7469804005929739	0.12829126797861273	17.694888785362178	15.844265226188154	16.744029116768182	0.9253117795870116	-0.031099095869810814	0.013941386914419868	-0.018123465258704462	0.037797791401129134	0.13004129244575532	0.062390269783240276
inferior frontal	IFSp	13	1.2470948648929212	0.02936148550243587	3.3945121539410548	0.11073505414196104	1.7389318286957018	0.16729647204432962	18.899762659303402	16.509479426341166	17.664236263889265	1.1951416164811182	-0.0074637606807448015	0.020874985452427584	0.011204144106033133	0.07306327955250204	0.013346529096436265	0.08419782941992134
inferior frontal	44	18	1.2321395123627323	0.024148702794035883	3.1968652339987567	0.08828836951986378	1.443732255585195	0.11813757060529603	18.042146925438036	16.143243945355742	17.066305373902587	0.949451490041147	-3.4865915920393825e-4	0.016983999497846777	-0.10441609263619361	0.06329680499001905	-0.20135376747490502	0.0841927430212873
premotor	6r	18	1.2042280019511666	0.023902053983286726	3.1519553009520345	0.09190384472774665	1.393998938415553	0.08876225176139929	16.909472350995756	15.146976372516331	16.00398007285222	0.8812479892397125	-0.03412407531591006	0.018161065223482306	-0.08541410649689642	0.04487314223148015	-0.15281247835207684	0.08348676854232877
premotor	6v	41	1.2578613536468404	0.014036090981702255	3.481878693295088	0.07631950043324033	1.753579995655231	0.09982974841226679	18.702404450190475	17.531749742051392	18.10761923598372	0.5853273540695412	0.001346612164478457	0.009445559310431149	0.15337679190855893	0.05514251710438556	0.14585726144220948	0.039635202687994475
premotor	55b	27	1.270128543898939	0.017664605872756943	3.511970879317116	0.07872318755779657	1.836958489620878	0.12554798131517803	19.399616726810624	17.883970220302828	18.626383648673453	0.757823253253898	0.0123169358692411	0.009625014680921471	0.16563530528719295	0.041662829608244	0.17615587208109407	0.049910504629653796
sensorimotor	4	17	1.2825801005640836	0.027206312717991534	3.4415948629777158	0.12021349007262816	1.628251686225938	0.17966202304505244	20.40734061572239	18.004198307936043	19.1681456427862	1.2015711538931733	-0.005763954587112796	0.026823437008595588	0.06175761615332016	0.06898889869322473	0.0714405725421459	0.08522351240443025
sensorimotor	3a	14	1.2570717994017702	0.027827015265651744	3.235075247533215	0.16114439816430726	1.3050436795406195	0.15857272459577315	19.270758756400785	16.95293059925085	18.074729203840594	1.158914078574968	-0.018515305671876963	0.02078762032625442	-0.08891427813971824	0.08898186258127525	-0.2478359751625837	0.07111815602175174
sensorimotor	3b	24	1.2834078769326753	0.025085807495702234	3.5240682185808967	0.11279021137591044	1.722854977999364	0.14541481390617497	20.34668607197446	18.126838666615097	19.204715458109384	1.1099237026796818	0.027951792837491024	0.01807898301675986	0.1481790435333476	0.06952920133359086	0.05876492563318384	0.07489854355027553
sensorimotor	1	44	1.2940979342618675	0.016432559830242426	3.4346201322507133	0.0626458866531522	1.6219209338652845	0.0930820410286932	20.442334673107204	18.952450648751036	19.683301019831923	0.7449420121780843	0.04377772621054271	0.010043530193635354	0.09904849608109624	0.04146393875175569	-0.04056180940114791	0.04196072795901308
posterior opercular	43	19	1.266176918723387	0.027265025100171158	3.275109728304606	0.10245963540183955	1.430850393694324	0.12421224993417365	19.653592351988095	17.334522924012152	18.457671769882776	1.1595347139879717	-0.004066293383413455	0.019750529317443737	-0.021908309895930674	0.06445596740221583	-0.012238887612215196	0.07886651577082107
posterior opercular	OP4	33	1.2316002877867291	0.01741366313103837	3.2027415746913324	0.08169320692447378	1.4427308809524138	0.10300913189880692	17.74246474405251	16.375200439801255	17.045128819694117	0.683632152125627	-0.0253500295718368	0.0111507966646639	-0.12974238486699105	0.04869103315302964	-0.18473843152638486	0.04232088697031944
inferior-parietal	PFop	28	1.2537521186622005	0.012906544819848074	3.293933380892505	0.0643550203055317	1.6192157783703232	0.10760334849627491	18.478157455348516	17.411876329045022	17.937095428222197	0.533140563151747	-0.015467867199994165	0.010139298163398359	-0.06390718596018106	0.036616962396369294	-0.029596956921768065	0.04341050226382498
inferior-parietal	PF	18	1.264230562862959	0.022695783702474676	3.300414623530185	0.061104473921974614	1.6586071608659048	0.11787016418812785	19.360935876006202	17.439530110779074	18.37513603167261	0.960702882613564	-0.0016544972907589	0.010466270894245391	-0.054572914972108734	0.05117198613701319	-0.028435564038921637	0.06472576535385406
temporo-parietal-occipital	PSL	9	1.2285230523127355	0.02974006358348523	3.2305701229909536	0.10281636649564434	1.8485266104470839	0.16648451748862483	18.12437819603994	15.804581076882394	16.924780786391082	1.1598985595787736	-0.03956176108396189	0.02307511255204533	-0.18608553264299937	0.0730718158199926	0.016088565563024737	0.024801488951100095
temporo-parietal-occipital	STV	11	1.2796725553600468	0.01941282049872961	3.3519170992970855	0.04548566688512668	1.6982682344194981	0.12225385918033566	19.910647143313312	18.207894773511306	19.04024600833619	0.8513761849010031	-0.01615226728833202	0.014395300073286751	-0.07345080039568605	0.052284723867113934	0.010810436426556536	0.08217657614502345
auditory-associative	A5	24	1.2325761972426328	0.020609101180447686	3.2440521157884445	0.07076269016040884	1.5513148073463876	0.10893460667296495	17.913700065816343	16.291725951410704	17.083474244077163	0.8109870572028193	-0.03322772128016588	0.01621190872346582	-0.07931816486044657	0.04100737305618895	0.03986746793763338	0.06820677578061937
auditory-associative	A4	36	1.252493839491611	0.01336423425272284	3.2407061999988533	0.057577733580965636	1.540355904420471	0.08893484574821771	18.444125716676474	17.343214890504875	17.88520158599861	0.5504554130857997	-0.008242915299205178	0.00608762849804768	-0.0873639452341241	0.028210556113292224	-0.05446336834362308	0.0323382554281487
