subject	session_id	electrode	note	type	subsesel
DBS4087	2	dbs_L4	comb noise in high frequencies	comb	DBS4087_2_dbs_L4
DBS4087	2	dbs_L2C	NA	comb	DBS4087_2_dbs_L2C
DBS4087	2	dbs_L2B	NA	comb	DBS4087_2_dbs_L2B
DBS4087	2	dbs_L2A	NA	comb	DBS4087_2_dbs_L2A
DBS4087	2	dbs_L1	NA	comb	DBS4087_2_dbs_L1
DBS4087	1	ecog_263	NA	comb	DBS4087_1_ecog_263
DBS4087	1	ecog_245	NA	comb	DBS4087_1_ecog_245
DBS4087	1	ecog_153	NA	comb	DBS4087_1_ecog_153
DBS4087	1	ecog_136	NA	comb	DBS4087_1_ecog_136
DBS4087	1	ecog_129	NA	comb	DBS4087_1_ecog_129
DBS4079	3	ecog_145	NA	comb	DBS4079_3_ecog_145
DBS3025	3	ecog_263	strong - not regular, more noise like	comb	DBS3025_3_ecog_263
DBS3025	3	ecog_261	weaker - not regular, more noise like	comb	DBS3025_3_ecog_261
DBS3025	3	ecog_260	weaker - not regular, more noise like	comb	DBS3025_3_ecog_260
DBS3025	3	ecog_258	weaker - not regular, more noise like	comb	DBS3025_3_ecog_258
DBS3025	3	ecog_257	weaker - not regular, more noise like	comb	DBS3025_3_ecog_257
DBS3025	3	ecog_256	weaker - not regular, more noise like	comb	DBS3025_3_ecog_256
DBS3025	3	ecog_255	strong - not regular, more noise like	comb	DBS3025_3_ecog_255
DBS3025	3	ecog_254	weaker - not regular, more noise like	comb	DBS3025_3_ecog_254
DBS3025	3	ecog_253	weaker - not regular, more noise like	comb	DBS3025_3_ecog_253
DBS3025	3	ecog_250	strong - not regular, more noise like	comb	DBS3025_3_ecog_250
DBS3025	3	ecog_249	strong - not regular, more noise like	comb	DBS3025_3_ecog_249
DBS3025	3	ecog_247	weaker - not regular, more noise like	comb	DBS3025_3_ecog_247
DBS3025	3	ecog_246	weaker - not regular, more noise like	comb	DBS3025_3_ecog_246
DBS3025	3	ecog_243	strong - not regular, more noise like	comb	DBS3025_3_ecog_243
DBS3025	3	ecog_242	weaker - not regular, more noise like	comb	DBS3025_3_ecog_242
DBS3025	3	ecog_232	strong - not regular, more noise like	comb	DBS3025_3_ecog_232
DBS3025	3	ecog_231	weaker - not regular, more noise like	comb	DBS3025_3_ecog_231
DBS3025	3	ecog_230	weaker - not regular, more noise like	comb	DBS3025_3_ecog_230
DBS3025	3	ecog_229	weaker - not regular, more noise like	comb	DBS3025_3_ecog_229
DBS3025	3	ecog_226	strong - not regular, more noise like	comb	DBS3025_3_ecog_226
DBS3025	3	ecog_223	strong - not regular, more noise like	comb	DBS3025_3_ecog_223
DBS3025	3	ecog_222	strong - not regular, more noise like	comb	DBS3025_3_ecog_222
DBS3025	3	ecog_221	strong - not regular, more noise like	comb	DBS3025_3_ecog_221
DBS3025	3	ecog_217	strong - not regular, more noise like	comb	DBS3025_3_ecog_217
