,subject,session_id,electrode,localization,fooof_export_path,CF1,PH1,BW1,CF2,PH2,BW2,CF3,PH3,BW3,CF4,PH4,BW4,CF5,PH5,BW5,CF6,PH6,BW6
0,sEEG-1002,0,LCM1,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM1-fooof.json,14.575859494862485,0.5445349322951873,18.323328901960835,60.13784987542751,2.1366744118329546,1.0,61.465545732891535,0.9616401581737541,1.0,179.9652265854547,1.9413186758757615,1.0214576890553348,180.44411063003815,1.9329981443722453,50.0,,,
1,sEEG-1002,0,LCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM2-fooof.json,1.0687251667547373,0.24989920178963487,1.0,8.241116570484795,0.4674567321407075,13.51939837170766,22.95590799669678,0.22304419591486813,24.03539511336896,60.05471887923758,0.870008057458211,1.0,179.96891809156136,1.1117960968002354,1.0,184.2653217418079,0.36565391338892006,50.0
2,sEEG-1002,0,LCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM3-fooof.json,12.443973505975599,0.38728313400763703,10.132396574329158,35.022629003479274,0.639178773793688,9.124291303277975,60.11096293928983,1.2696304887273584,1.0,181.21200000000002,0.41515951430980813,50.0,,,,,,
3,sEEG-1002,0,LCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM4-fooof.json,8.797764210106385,0.6375081435134913,11.058059792111655,14.501869285532164,0.9640280770337419,1.545079471842259,20.444,0.3375641696843772,14.687443021091802,60.05901917874485,1.0302027165167207,1.0,179.99390650407628,1.2277177572457596,1.5645568039560906,,,
5,sEEG-1002,0,LCM16,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM16-fooof.json,2.098906771760653,1.1976139904021217,12.401243568000963,13.429912750870747,0.7444621220659755,4.5152847913130705,21.480699317622445,0.42677450190448063,11.671274351836358,60.0764162698682,1.0645432466899631,1.0,179.98407969564607,1.271676675797833,1.5575400122002252,,,
6,sEEG-1002,0,RCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM2-fooof.json,12.382892658490375,0.9436031357962342,9.830596249750016,13.690791426211987,0.9219835218814456,22.748193673705888,60.15258249410242,1.469144863333625,1.0,179.9644229125647,1.5195872955411804,1.0,180.0841739011514,1.5115913567419739,50.0,,,
7,sEEG-1002,0,RCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM3-fooof.json,6.760326347205623,0.4391085918067059,8.20584865800618,12.996213283321357,0.7076343870849442,12.973863008751524,60.0857671450612,1.0498177589188948,1.0,179.99345956277102,1.5121183180969116,1.4969726509823773,,,,,,
8,sEEG-1002,0,RCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM4-fooof.json,5.681116570484795,0.4434922671156496,15.106693924057273,35.80940332455695,0.6007593582598769,8.413811484280084,60.135896477627924,1.662514607240615,1.0,61.484470454042764,0.4974321406955635,1.0,179.9672186707317,1.8544346522153639,1.3868281275609255,,,
9,sEEG-1002,0,RCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM5-fooof.json,10.905843405971625,0.49698908443589396,8.9391292321814,20.578233140969587,0.26385955427623564,29.114646253999627,60.140586743911044,1.6833780472182038,1.0,61.523635697885766,0.5297808501070964,1.0,179.98953196288338,1.740955204828884,1.3670932750393276,,,
10,sEEG-1002,0,RCM6,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM6-fooof.json,2.6200412247859846,0.4314064836102851,30.557415225122263,14.364856924537342,0.8396092700461555,5.504161773490953,60.01273262990509,0.6748741045161424,1.0,152.37953371806083,0.21574929169162083,49.89197419798661,179.95495902752012,1.066690895774009,1.0,199.68,0.3690378165162187,41.15056844037648
12,sEEG-1002,0,RCM16,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM16-fooof.json,14.423221582364617,0.19690792679154612,1.0,20.534701213004446,0.2967213454338946,1.248498514420291,22.4991452130493,0.41013388732847034,1.0,28.927610221304484,0.21971597520648167,1.0,179.85930894052777,0.3339010977195116,1.1536402234431924,,,
13,sEEG-1002,0,LCM12,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM12-fooof.json,24.000488271917156,0.25434393627016405,14.904765112270065,60.047759682115526,0.6324952269140294,1.0,179.97340314705764,0.9846859734635807,1.0,199.132,0.19858135179463865,42.35913319466278,,,,,,
14,sEEG-1002,0,LCM13,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM13-fooof.json,20.052647324965463,0.3458587906068278,13.382981320733439,80.348,0.23060384690195512,12.489284095562722,81.8078118184324,0.5434430905521808,1.0,91.86220154839832,0.3646303325266711,6.535930520069258,94.72013471549776,0.35212168833929347,1.0,181.724,0.21847356539670137,30.7721473505669
15,sEEG-1002,0,LCM14,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM14-fooof.json,60.04990377289028,1.0048799804001263,1.0,77.87122794263541,0.3277761625814737,16.465487647213653,87.004,0.2925135528122471,4.539412162192789,179.97341673850283,1.6534984113626994,1.2238306425006642,,,,,,
16,sEEG-1002,0,LCM15,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-LCM15-fooof.json,21.117865204269958,0.36977353062606966,16.150608424636488,60.11897525448146,1.1918611953207794,1.0,80.274357637278,0.4674016103232361,4.462561412816348,82.5468809090308,0.384779146751697,20.584007732234177,179.96998940595324,2.246681457802632,1.442988962887264,,,
17,sEEG-1002,0,RCM14,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM14-fooof.json,26.58536332453192,0.10213968371857618,50.0,60.014194348100716,0.44416894982907706,1.0,68.572,0.3270471829734998,50.0,69.03499810999809,0.41497895987127187,1.0,179.9474568763915,0.9307609490069417,1.0,,,
18,sEEG-1002,0,RCM15,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-0-RCM15-fooof.json,27.148555168786555,0.12871052167697883,10.902951312243772,59.95595219881469,0.5380276853136294,1.0,68.572,0.2250573904950084,7.1929301036693465,70.108,0.21598289424014006,50.0,179.94264969801344,0.5621397025880501,1.0,,,
19,sEEG-1002,1,LCM1,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM1-fooof.json,16.98135893311153,0.9524559997592927,14.58708953799337,57.78653219505603,1.20922982431094,1.6071847469686817,60.04953311654962,3.3270130143097063,1.0,61.43947317136631,1.8918177463645698,1.3487399590518414,179.8532263006971,2.7381778322537684,2.0556297611168115,,,
20,sEEG-1002,1,LCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM2-fooof.json,17.298862015752402,0.7292120178263453,15.013761263363453,60.12338196975823,1.4989236875934768,1.0,61.36622067232952,0.2632711557112355,1.0,179.928811055971,1.6497260613418891,1.710840615511541,,,,,,
21,sEEG-1002,1,LCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM3-fooof.json,16.400696349050303,0.8165004939636411,11.94609854517643,60.098402920742686,2.463680224538125,1.0,61.39996808740395,1.1055944314521398,1.0,179.91703335888312,2.5910968227072715,1.289193069761064,184.88111657048478,0.366896035900691,50.0,,,
22,sEEG-1002,1,LCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM4-fooof.json,9.435110032690671,0.73800608076413,4.4985683808468595,17.136750702879624,1.2087543804319516,7.924769526056423,60.110197552021106,2.0430101343871794,1.0,61.397089530820566,0.7385358779596576,1.0,179.95765703748106,1.7273413324240128,1.2818653532225555,,,
24,sEEG-1002,1,LCM16,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM16-fooof.json,1.024,0.9400535115865534,13.851251672548415,21.438150963764954,0.6513563670344702,12.260342192914942,60.09024597751613,2.574991772471506,1.0,61.41314975879906,1.1960583268833123,1.072608441219694,179.89764645870775,2.3218817862588867,1.559703683968758,,,
25,sEEG-1002,1,RCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM2-fooof.json,8.470020616652198,0.7181710921638178,4.348432767216273,16.438392077277022,0.9264748175846478,13.272302203243873,60.10804906648186,2.213197910748198,1.0,61.376561083838425,0.8703159720630111,1.0,179.91117202325705,2.0441254781904163,1.836723622555407,,,
26,sEEG-1002,1,RCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM3-fooof.json,10.093281732943698,0.8313783649913997,1.7343653689582998,15.739147200104377,0.8355315398831991,15.826337941507022,60.10750273670558,2.01173700671238,1.0,61.356090366556614,0.6966176472844055,1.0,179.8825701768696,2.430675610183444,1.6857558672321913,,,
27,sEEG-1002,1,RCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM4-fooof.json,13.278542514946105,0.28788707779390954,18.70029238013617,18.14025615345841,0.7163852361658911,4.153726382206945,60.10523821365397,2.294648115012155,1.0,61.399934569349355,0.9446484557152317,1.0,179.89028284575122,2.382133662786037,1.5934118676807756,,,
